순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용
137,(LGU+)B LG더블스타화곡본동시장점,폐휴대폰,수거함 설치,서울 강서구 화곡로 200 ,민팃ATM,무상
138,(LGU+)B LG더유피자이아파트점,폐휴대폰,수거함 설치,서울 마포구 큰우물로 49 ,민팃ATM,무상
139,(LGU+)B LG더좋은북부시장점,폐휴대폰,수거함 설치,전북 익산시 인북로 253 ,민팃ATM,무상
140,(LGU+)B LG더좋은사거리점,폐휴대폰,수거함 설치,전북 김제시 동서로 177 ,민팃ATM,무상
141,(LGU+)B LG더좋은원광대대학로점,폐휴대폰,수거함 설치,전북 익산시 무왕로 882 ,민팃ATM,무상
142,(LGU+)B LG동경국민은행사거리점,폐휴대폰,수거함 설치,전남 화순군 화순읍 중앙로 95 ,민팃ATM,무상
143,(LGU+)B LG동양정보통신유천네거리점,폐휴대폰,수거함 설치,대전 중구 계백로 1607 ,민팃ATM,무상
144,(LGU+)B LG드림원롯데시네마점,폐휴대폰,수거함 설치,충북 청주시 상당구 성안로 9 ,민팃ATM,무상
145,(LGU+)B LG디씨티컴퍼니귀빈예식장점,폐휴대폰,수거함 설치,인천 미추홀구 미추홀대로 665 ,민팃ATM,무상
146,(LGU+)B LG라온커뮤니시청점,폐휴대폰,수거함 설치,경기 포천시 중앙로 111 ,민팃ATM,무상
147,(LGU+)B LG리더스모바일농협점,폐휴대폰,수거함 설치,충북 청주시 청원구 상당로 305 ,민팃ATM,무상
148,(LGU+)B LG리더스모바일새마을금고점,폐휴대폰,수거함 설치,충북 증평군 증평읍 중앙로 207 ,민팃ATM,무상
149,(LGU+)B LG리더스모바일우체국점,폐휴대폰,수거함 설치,충북 청주시 상당구 월평로 228 ,민팃ATM,무상
150,(LGU+)B LG리드캡부평문화로점,폐휴대폰,수거함 설치,인천 부평구 부평문화로 54 ,민팃ATM,무상
151,(LGU+)B LG마루통신남해점,폐휴대폰,수거함 설치,경남 남해군 남해읍 화전로 87 ,민팃ATM,무상
152,(LGU+)B LG마루통신하동우체국점,폐휴대폰,수거함 설치,경남 하동군 하동읍 중앙로 41-1 ,민팃ATM,무상
153,(LGU+)B LG명성컴퍼니해양경찰서점,폐휴대폰,수거함 설치,경남 통영시 광도면 죽림1로 41-55 ,민팃ATM,무상
154,(LGU+)B LG명원텔레콤신광로점,폐휴대폰,수거함 설치,제주시 삼무로 18 ,민팃ATM,무상
155,(LGU+)B LG명품텔레콤대구역점,폐휴대폰,수거함 설치,대구시 중구 동성로 80-1 ,민팃ATM,무상
156,(LGU+)B LG모둠텔레콤송산초등학교점,폐휴대폰,수거함 설치,경기 의정부시 오목로 219 ,민팃ATM,무상
157,(LGU+)B LG모바일제너레이션부천남부시장점,폐휴대폰,수거함 설치,경기 부천시 경인로 206 ,민팃ATM,무상
158,(LGU+)B LG모아대리점농협사거리점,폐휴대폰,수거함 설치,대전 대덕구 대덕대로 1606 ,민팃ATM,무상
159,(LGU+)B LG모아대리점세종시청점,폐휴대폰,수거함 설치,세종특별자치시 한누리대로 2143 ,민팃ATM,무상
160,(LGU+)B LG모아대리점정림삼거리점,폐휴대폰,수거함 설치,대전 서구 정림로 72 ,민팃ATM,무상
161,(LGU+)B LG모아대리점중리네거리점,폐휴대폰,수거함 설치,대전 대덕구 계족산로 2 ,민팃ATM,무상
162,(LGU+)B LG모아텔레콤죽도파출소점,폐휴대폰,수거함 설치,경북 포항시 북구 중흥로 265-2 ,민팃ATM,무상
163,(LGU+)B LG무한텔레콤농협점,폐휴대폰,수거함 설치,충북 청주시 서원구 사직대로 263 ,민팃ATM,무상
164,(LGU+)B LG뮤즈문화회관점,폐휴대폰,수거함 설치,부산 해운대구 좌동로 88 ,민팃ATM,무상
165,(LGU+)B LG미래중앙통신동문로터리점,폐휴대폰,수거함 설치,제주특별자치도 제주시 동문로 4 ,민팃ATM,무상
166,(LGU+)B LG미소텔레콤홈플러스점,폐휴대폰,수거함 설치,경남 거제시 장평로 17 ,민팃ATM,무상
167,(LGU+)B LG바우컴퍼니원마트점,폐휴대폰,수거함 설치,강원 강릉시 주문진읍 장성로 48 ,민팃ATM,무상
168,(LGU+)B LG베스트플러스천내리점,폐휴대폰,수거함 설치,대구시 달성군 화원읍 비슬로 2579-4 ,민팃ATM,무상
169,(LGU+)B LG보람컴퍼니로데오점,폐휴대폰,수거함 설치,충북 청주시 상당구 사직대로 360-1 ,민팃ATM,무상
170,(LGU+)B LG보람컴퍼니롯데리아점,폐휴대폰,수거함 설치,충북 청주시 흥덕구 진재로 54 1층 ,민팃ATM,무상
171,(LGU+)B LG보람컴퍼니형석1차아파트,폐휴대폰,수거함 설치,충북 청주시 흥덕구 가경로161번길 3 ,민팃ATM,무상
172,(LGU+)B LG보람컴퍼니효성아파트점,폐휴대폰,수거함 설치,충북 청주시 흥덕구 2순환로1050번길 24 ,민팃ATM,무상
173,(LGU+)B LG본오중앙약국점,폐휴대폰,수거함 설치,경기 안산시 단원구 예술대학로 11 ,민팃ATM,무상
174,(LGU+)B LG봄날남악신도시점,폐휴대폰,수거함 설치,전남 무안군 삼향읍 대죽동로 43 ,민팃ATM,무상
175,(LGU+)B LG봄날대불점,폐휴대폰,수거함 설치,전남 영암군 삼호읍 대불주거5로 6 ,민팃ATM,무상
176,(LGU+)B LG봄날북항점,폐휴대폰,수거함 설치,전남 목포시 청호로 175 ,민팃ATM,무상
177,(LGU+)B LG북서울광운대점,폐휴대폰,수거함 설치,서울 노원구 광운로 59 ,민팃ATM,무상
178,(LGU+)B LG브이아이피컴퍼니신창우체국점,폐휴대폰,수거함 설치,광주 광산구 신창로 64 ,민팃ATM,무상
179,(LGU+)B LG비엔비익산역점,폐휴대폰,수거함 설치,전북 익산시 중앙로 19 ,민팃ATM,무상
180,(LGU+)B LG비커넥티드유진대방DMCP점,폐휴대폰,수거함 설치,전북 전주시 덕진구 기지로 77 ,민팃ATM,무상
181,(LGU+)B LG사계종가4로점,폐휴대폰,수거함 설치,울산 중구 종가4길 13 ,민팃ATM,무상
182,(LGU+)B LG사랑애텔레콤롯데백화점,폐휴대폰,수거함 설치,대전 서구 계룡로 590 ,민팃ATM,무상
183,(LGU+)B LG사랑커뮤니동부지방법원점,폐휴대폰,수거함 설치,서울 광진구 아차산로 419 ,민팃ATM,무상
184,(LGU+)B LG새늘정보통신금호1단지점,폐휴대폰,수거함 설치,전북 군산시 수송로 56 ,민팃ATM,무상
185,(LGU+)B LG서광등촌역점,폐휴대폰,수거함 설치,서울 양천구 공항대로 562 ,민팃ATM,무상
186,(LGU+)B LG서광유통우체국점,폐휴대폰,수거함 설치,전남 여수시 충무1길 2 ,민팃ATM,무상
187,(LGU+)B LG서희정보돌고개점,폐휴대폰,수거함 설치,광주 서구 월산로 161 ,민팃ATM,무상
188,(LGU+)B LG성공유클래스대동상가점,폐휴대폰,수거함 설치,부산 해운대구 좌동순환로 174 ,민팃ATM,무상
189,(LGU+)B LG성공유클래스쌍용예가점,폐휴대폰,수거함 설치,부산 동래구 사직북로13번길 50 ,민팃ATM,무상
190,(LGU+)B LG성현텔레콤군포점,폐휴대폰,수거함 설치,경기 군포시 군포로534번길 24 ,민팃ATM,무상
191,(LGU+)B LG소영컴퍼니라피에스타점,폐휴대폰,수거함 설치,경남 양산시 물금읍 백호로 156 ,민팃ATM,무상
192,(LGU+)B LG소영컴퍼니사상로점,폐휴대폰,수거함 설치,부산 사상구 사상로 249 ,민팃ATM,무상
193,(LGU+)B LG소영컴퍼니젊음의거리점,폐휴대폰,수거함 설치,부산 북구 만덕대로 18 ,민팃ATM,무상
194,(LGU+)B LG수빈텔레콤장등로점,폐휴대폰,수거함 설치,경남 김해시 진영읍 장등로 7 ,민팃ATM,무상
195,(LGU+)B LG수빈텔레콤탑마트점,폐휴대폰,수거함 설치,경남 김해시 가락로 81 ,민팃ATM,무상
196,(LGU+)B LG슈퍼맨텔레콤뉴삼부프라자점,폐휴대폰,수거함 설치,대전시 중구 태평로 71 ,민팃ATM,무상
197,(LGU+)B LG스타컴퍼니덕계점,폐휴대폰,수거함 설치,경남 양산시 덕계로 58 ,민팃ATM,무상
198,(LGU+)B LG스타텔레콤검단농협점,폐휴대폰,수거함 설치,인천 서구 검단로 494-1 ,민팃ATM,무상
