연번,유형,도로명주소,지번주소,위치 ,위도,경도,보유 수량
113,폐형광등·폐전지통합형,서울특별시 관악구 인헌12길 46-2,서울특별시 관악구 봉천동 1707,은천1단지아파트 경비실,37.47166852,126.965275,1
114,폐건전지함,서울특별시 관악구 인헌9길 35,서울특별시 관악구 봉천동 1647,"인헌중, 별관",37.47269621,126.9688402,1
115,폐형광등·폐전지통합형,서울특별시 관악구 남현길 63,서울특별시 관악구 남현동 1083-29,상록보육원 내,37.47399706,126.9765177,1
116,폐형광등·폐전지통합형,서울특별시 관악구 승방길 32,서울특별시 관악구 남현동 602-60,승방6길 5 앞,37.47363489,126.9801461,1
117,폐형광등·폐전지통합형,서울특별시 관악구 남현1가길 29,서울특별시 관악구 남현동 1086-1,남현동주민센터 지하주차장 입구,37.47468786,126.9778753,1
118,폐형광등·폐전지통합형,서울특별시 관악구 남현길 144,서울특별시 관악구 남현동 1132,흥화브라운빌아파트 내,37.47113994,126.973033,1
119,폐형광등·폐전지통합형,서울특별시 관악구 남현1가길 29,서울특별시 관악구 남현동 1086-1,남현동주민센터 지하주차장 입구,37.47468786,126.9778753,1
120,폐건전지함,서울특별시 관악구 승방7길 31,서울특별시 관악구 남현동 602-220,사당동 군인아파트,37.47215812,126.9811726,1
121,폐형광등·폐전지통합형,서울특별시 관악구 관천로24길 3,서울특별시 관악구 신림동 1718,보라매갑을아파트,37.48904329,126.9218573,1
122,폐형광등·폐전지통합형,서울특별시 관악구 신림동길 14,서울특별시 관악구 신림동 1439-3,신림동 주민센터,37.487396,126.9271139,1
123,폐형광등·폐전지통합형,서울특별시 관악구 관천로24길 3,서울특별시 관악구 신림동 1718,보라매갑을아파트,37.48904329,126.9218573,1
124,폐건전지함,서울특별시 관악구 신림동길 14,서울특별시 관악구 신림동 1439-3,신림동 주민센터,37.487396,126.9271139,1
125,폐형광등·폐전지통합형,서울특별시 관악구 관천로27길 2,서울특별시 관악구 신림동 1715,우방아파트 단지내,37.48846493,126.9186431,1
126,폐형광등·폐전지통합형,서울특별시 관악구 조원로 151-1,서울특별시 관악구 신림동 480-21,신사동 자치회관,37.48595224,126.9191029,1
127,폐형광등·폐전지통합형,서울특별시 관악구 신사로 142,서울특별시 관악구 신림동 475-35,신사동주민센터,37.48912853,126.9174964,1
128,폐건전지함,서울특별시 관악구 신사로 142,서울특별시 관악구 신림동 475-35,신사동주민센터,37.48912853,126.9174964,1
129,폐건전지함,서울특별시 관악구 관천로27길 2,서울특별시 관악구 신림동 1715,우방아파트 단지내,37.48846493,126.9186431,1
130,폐형광등·폐전지통합형,서울특별시 관악구 조원로11길 24,서울특별시 관악구 신림동 1719,조원아파트,37.48420111,126.9075246,1
131,폐형광등·폐전지통합형,서울특별시 관악구 조원로13길 15,서울특별시 관악구 신림동 551-9,현대아파트,37.48449752,126.9088976,1
132,폐형광등·폐전지통합형,서울특별시 관악구 조원로14길 16,서울특별시 관악구 신림동 546-7,윤정아파트,37.4829586,126.9094875,1
133,폐형광등·폐전지통합형,서울특별시 관악구 조원로2길 13,서울특별시 관악구 신림동 1656,미성아파트,37.48278923,126.9029192,1
134,폐형광등·폐전지통합형,서울특별시 관악구 조원로16길 27,서울특별시 관악구 신림동 541,신림중앙시장,37.48314523,126.9114212,1
135,폐형광등·폐전지통합형,서울특별시 관악구 조원로16길 7,서울특별시 관악구 신림동 1723,신도브레뉴아파트,37.48389609,126.9112558,1
136,폐형광등·폐전지통합형,서울특별시 관악구 조원로12길 25,서울특별시 관악구 신림동 568-27,조원동주민센터,37.48256328,126.9077947,1
137,폐형광등·폐전지통합형,서울특별시 관악구 조원로13길 36,서울특별시 관악구 신림동 1728,제창그로힐아파트,37.48471089,126.9104368,1
138,폐건전지함,서울특별시 관악구 조원로12길 25,서울특별시 관악구 신림동 568-27,조원동주민센터,37.48256328,126.9077947,1
139,폐형광등·폐전지통합형,서울특별시 관악구 조원로16길 12,서울특별시 관악구 신림동 1723,신도브레뉴아파트 101동~102동 사이,37.48370001,126.9106311,1
140,폐형광등·폐전지통합형,서울특별시 관악구 조원로16길 12,서울특별시 관악구 신림동 1723,신도브레뉴아파트 103동~104동 사이,37.48370001,126.9106311,1
141,폐형광등·폐전지통합형,서울특별시 관악구 미성길 122,서울특별시 관악구 신림동 1686,쌍용아파트 101동 분리수거장 내,37.47282851,126.9121735,1
142,폐형광등·폐전지통합형,서울특별시 관악구 미성5길 33,서울특별시 관악구 신림동 1563-82,한양아파트 관리사무소 옆,37.47285464,126.9153837,1
143,폐형광등·폐전지통합형,서울특별시 관악구 미성5길 40,서울특별시 관악구 신림동 1712,초원아파트 분리수거장 내,37.47334769,126.9140357,1
144,폐형광등·폐전지통합형,서울특별시 관악구 난곡로47길 9,서울특별시 관악구 신림동 763,한라타운아파트,37.47654562,126.9151246,1
145,폐형광등·폐전지통합형,서울특별시 관악구 난곡로 249,서울특별시 관악구 신림동 763-9,미성동주민센터,37.47617498,126.9155517,1
146,폐형광등·폐전지통합형,서울특별시 관악구 미성3길 16,서울특별시 관악구 신림동 1734,동부센트레빌 103동,37.47295297,126.9160619,1
147,폐형광등·폐전지통합형,서울특별시 관악구 문성로 74,서울특별시 관악구 신림동 746-43,건영아파트 분리수거장,37.47675629,126.9120581,1
148,폐형광등·폐전지통합형,서울특별시 관악구 남부순환로 1430,서울특별시 관악구 신림동 1730,신림푸르지오아파트 106동,37.47923845,126.90904,1
